QC — discrepancy and open-items log,,,,

ID,Item,Detail / required action,Severity,Status
Q1,CN 4th-period T&D notice 发改价格〔2026〕1077号,CLOSED: retrieved from ndrc.gov.cn at primary level 2026-07-14 (notice + 34pp annex). D13-R applies: 2026 = month-weighted 7/12 third + 5/12 fourth period (effective 01.08.2026). All 7 provinces in cn_td tab.,—,CLOSED (D13-R)
Q2,German §19 implied-discount method infeasible as specified,"Privileged volumes not published. RESOLVED via decision D8 (user-approved): E2 = published tariff × (1−0.76) from AgNes aggregates, banded [10% floor, full tariff], estimated=Y.",High,RESOLVED (D8)
Q3,NPg (Yorkshire) licence attribution for Immingham/Scunthorpe,"High-confidence inference from GSP-group geography + two retrieved sources naming Northern Powergrid for N. Lincolnshire; not document-level verified. ACTION: confirm from NPg LC14 statement or Ofgem licence map when accessible (page is JS-rendered). || RESOLVED: ENA operator finder (energynetworks.org) returns verbatim ""Your electricity distribution network operator is Northern Powergrid (Yorkshire)"" for BOTH DN40 1QT (Immingham) and DN16 1AD (Scunthorpe) — the licence entity, not just the brand. ENA good-faith disclaimer noted; combined with National Grid Grimsby-Walpole docs (D5) this closes the attribution.",Medium,RESOLVED 2026-07-16
Q4,NPg LC14 CDCM charging statement contents unread,"CLOSED 2026-07-15: statements 2017/18–2026/27 read (rates in stage4_uk); time-band definitions verified from 2019/20 statement (4821.pdf via Wayback 20221130063623): red 16:00–19:30, amber 08:00–16:00 & 19:30–22:00 Mon–Fri, green rest. Band definitions assumed unchanged 2018/19–2026/27 (estimated=Y). 2017/18 uses different bands — flagged.",Medium,CLOSED
Q5,"UK medium archetype TCR band HV4 inferred, not published",estimated=Y (decision D12). Sanity-check against DNO banding guidance in stage 4.,Low,OPEN
Q6,Sichuan 2024 industrial/secondary-industry consumption unavailable — 全社会 total used in all weight sets,"CLOSED 2026-07-15: SC 2024 第二产业用电量 = 2404.56 亿千瓦时 (+3.36%) from 硕电汇 year-end summary via 北极星 (bjx 1424280, chart images read; split sums exactly to 全社会 3999.69: 一产 38.84 / 二产 2404.56 / 三产 780.93 / 居民 775.36). Set-C weight updated in assumptions D42 (was 全社会 fallback). Tier 2–3 (grid-data republication) — 统计年鉴 confirmation still welcome; tjj.sc.gov.cn geo-blocked even from EU browser.",Medium,CLOSED (Set-C fallback removed)
Q7,Set C residual category issues,"GD: no 第二产业 published anywhere official — 工业 fallback per D11 (understates GD weight by ~construction share; derived alternative 5320.07 logged). IM: 第二产业 figure verified only via industry-association republication of grid data. ZJ: grid-company data via Xinhua, bulletin not retrievable.",Medium,OPEN
Q8,BDEW Strompreisanalyse Jan 2026 edition not retrievable (HTML error),April 2026 edition used instead (S13). The widely reported 16.0 ct/kWh Jan figure is UNVERIFIED — do not use.,Low,OPEN
Q9,TransnetBW '~57% avg transmission-charge cut' (6.65→2.86 ct/kWh) seen in search snippet only,"TSO-sourced but verbatim unverified. Do not chart until read from the press release or the ÜNB-Preisblatt 2026 delta is computed directly. || RESOLVED: joint UeNB press release read at source (transnetbw.de, 01.10.2025): average HoeS/Umspann charge falls ""um 57 Prozent ... von aktuell 6,65 Cent pro Kilowattstunde auf 2,86 Cent pro Kilowattstunde"" with the EUR 6.5bn KTF subsidy (par.24c EnWG); full pass-through legally required. Chartable.",Low,RESOLVED 2026-07-16
Q10,Ofgem TCR 2019 decision text not retrieved,"Band framework as republished by NESO tariff documents is used; original decision to be cited in methodology annex. || RESOLVED: Ofgem TCR Decision and Impact Assessment (21.11.2019, upd. 18.12.2019, 167pp) retrieved from ofgem.gov.uk (full_decision_doc_updated.pdf). Decision annex pp.55-57: four fixed charging bands per voltage group; boundaries at 40th/70th/85th percentiles of customer numbers by INCREASING AGREED CAPACITY (EHV/HV/LV-with-capacity) — directly supports D12/Q5 banding basis.",Low,RESOLVED 2026-07-16
