SOURCES — every source with tier and retrieval date,,,,,
,,,,,
ID,Source,Tier,URL,Retrieved,Used for
S1,"NESO, Final TNUoS Tariffs 2025/26 v1.0, Jan 2025 (report + tables wb)",1,https://www.neso.energy/document/353086/download ; tables https://www.neso.energy/document/353061/download,2026-07-14,"Zone 5, zero floor, T-Demand4 £12,796.715359/site/day, thresholds, App. H map (GN2)"
S2,"NESO, Final TNUoS Tariffs 2026/27 v1.0, Jan 2026 (report + tables wb)",1,https://www.neso.energy/document/376336/download ; tables https://www.neso.energy/document/376341/download,2026-07-14,"2026/27 T-Demand4 £20,829.236682/site/day; re-set thresholds (>163,880 MWh) | Sheet TB 'Non-locational banded charges' (retr. 2026-07-27, Q101) = the banding-basis primary: LVN on annual kWh; LV/HV/EHV on agreed kVA (HV 500/1,100/2,000); T-Demand on annual MWh (25,131/64,451/163,880). Percentiles 40/70/85 except T-Demand 40/70/93. 2026/27 HV4 £528.912335/site/day, T-Demand3 £7,586.413858, T-Demand4 £20,829.236682. Thresholds hold for the RIIO-ET3 period."
S3,"NESO, Transmission Connected Sites Residual Charging Bands (23.05.2025)",1,https://www.neso.energy/document/361646/download,2026-07-14,Per-site band allocations TRN1–TRN4
S4,"DESNZ, QEP tables 3.4.1/3.4.2 (table_341.xlsx, pub. 30.06.2026)",1,https://assets.publishing.service.gov.uk/media/6942bd3536f089d38be1f246/table_341.xlsx,2026-07-14,GN1: Extra Large 2024 = 21.697864840 p/kWh excl CCL; 22.146381945 incl CCL
S5,"DBT, NCC uplift consultation response (upd. 31.10.2025)",1,https://www.gov.uk/government/consultations/network-charging-compensation-scheme-uplift-for-energy-intensive-industries/outcome/proposed-uplift-to-the-network-charging-compensation-scheme-for-energy-intensive-industries-eiis-government-consultation-response,2026-07-14,"BIS: 100% CfD/RO/FiT (04/2024), 100% CM (10/2024), NCC 60%→90% from 01.04.2026; ESL recovery"
S6,"UK legislation: SI 2024/409; SI 2026/243; Electricity Act 1989 ss.4, 64",1,https://www.legislation.gov.uk/,2026-07-14,EII regs; 132kV transmission/distribution split
S7,"National Grid, Grimsby-Walpole 'Need for project'; Northern Powergrid about-us",1,https://www.nationalgrid.com/electricity-transmission/network-and-infrastructure/infrastructure-projects/grimsby-to-walpole/need-for-project ; https://www.northernpowergrid.com/about-us,2026-07-14,DNO attribution: both Humber banks = Northern Powergrid
S8,"StromNEV consolidated text (gesetze-im-internet.de): §3, §14a–d, §19",1,https://www.gesetze-im-internet.de/stromnev/,2026-07-14,Harmonised ÜNB charges since 01.01.2023; §19(2) floors 20/15/10% verbatim
S9,"BNetzA GBK, AgNes Orientierungspunkte Industrienetzentgelte, 22.04.2026 (GBK-25-01-1#3)",1,https://www.bundesnetzagentur.de/DE/Beschlusskammern/1_GZ/GBK-GZ/2025/GBK-25-01-1x3_AgNes/Downloads/Orientierungspunkte_Industr_NetzE.pdf,2026-07-14,§19 reform path (StromNEV expiry end-2028; Bandlast transition to 2031); 555 sites; 68 HS sites avg rebate ≈76% (€242m of €317.36m)
S10,§24c EnWG; Bundesregierung 'Niedrigere Stromkosten' 22.12.2025,1,https://www.gesetze-im-internet.de/enwg_2005/__24c.html ; https://www.bundesregierung.de/breg-de/aktuelles/niedrigere-netzentgelte-2382396,2026-07-14,"€6.5bn 2026 transmission subsidy (KTF), 10× €650m instalments, 2026 only"
S11,"netztransparenz.de: Aufschlag besondere Netznutzung 2025/2026 + Datenbasis; KWKG-, Offshore-Umlage 2025/2026; ÜNB-Preisblatt 2026 (05.12.2025)",1,https://www.netztransparenz.de/,2026-07-14,Levy values (A' 1.558/1.559; B' 0.050; C' 0.025 ct/kWh); §19 foregone revenue by limb (2026: atypical €379.48m; Bandlast €905.10m); NO privileged volumes published
S12,"StromStG §3, §9b (as amended by BGBl. 2025 I Nr. 340); KAV §2",1,https://www.gesetze-im-internet.de/stromstg/ ; https://www.gesetze-im-internet.de/kav/,2026-07-14,"Stromsteuer 20.50 €/MWh, manufacturing relief 20 €/MWh → effective 0.50 (permanent from 2026); Konzessionsabgabe max 0.11 ct/kWh, Grenzpreis rule"
S13,BDEW-Strompreisanalyse April 2026 (15.04.2026),1,https://www.bdew.de/media/documents/BDEW_Strompreisanalyse_042026.pdf,2026-07-14,GN3: 2025 = 17.6 ct/kWh; 2026 = 16.7; Musterkunde definition Folie 2; Eurostat-band figures Folie 16
S14,Eurostat nrg_pc_205 (dissemination API; update 2026-05-19),1,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205,2026-07-14,GN4: DE band IF 2024 X_VAT 0.1394/0.1430 EUR/kWh (X_TAX 0.1276/0.1313)
S15,NDRC 发改价格〔2023〕526号 + annex 省级电网输配电价表,1,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202305/t20230515_1355747.html ; annex https://www.ndrc.gov.cn/xxgk/zcfb/tz/202305/P020230515609052875117.pdf,2026-07-14,GN5: Jiangsu 220kV 两部制 0.0597 元/kWh; 需量 41.6 元/kW·月; 容量 26.0 元/kVA·月; line-loss rate 3.18%
S16,"SGCC Jiangsu, 2026年3月代理购电工商业用户电价公告 (附件6)",1,http://www.js.sgcc.com.cn/images/xxgk/gwczgdgs/djhsfbz/2026/02/26/1476497683668692992.pdf,2026-07-14,Cross-check GN5 still applied 03/2026; 1.5× 高耗能 penalty verbatim; 煤电容量电费 0.0350 元/kWh pass-through
S17,NDRC 发改价格〔2025〕136号 (新能源上网电价市场化改革),1,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202502/t20250209_1396066.html,2026-07-14,2026 structural break; 存量/增量 cutoff 01.06.2025
S18,NDRC 发改价格〔2023〕1501号 (煤电容量电价) + 发改价格〔2026〕114号,1,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202311/t20231110_1361897.html ; https://www.ndrc.gov.cn/xxgk/zcfb/tz/202601/t20260130_1403524.html,2026-07-14,容量电价 330 元/kW·yr benchmark; recovery ≥50% from 2026
