"ALL-IN PRICE TIME SERIES — stage 4 build (2026-07-15). Both archetypes × E1/E2 × 3 countries, 2010–2026 (D19). Formula-driven from stage4_uk / stage4_de / stage4_cn / cn_td / assumptions. Nominal local currency per MWh; real 2025 USD/MWh block below (no 2026 conversion, D6). E1/E2 are MODELLED, not observed. Build-up EXCLUDES supply cost & margin (function 6) — noted at the validation gate. Blank cell = source gap (anti-fabrication) — see completeness rows.",,,,,,,,,,,,,,,,,,,,
"Structural breaks to mark on every chart — UK: CfD-ILR 2016 · EII exemptions 2018 → 100% 04/2024 · TCR DUoS 04/2022, TNUoS bands + BSUoS reform 04/2023 · NCC 04/2025 (backdated 04/2024), 90% 04/2026 · wholesale = day-ahead PROXY pre-2022 (D22). DE: §19 floors 2014 (2011–13 exemption era not modelled — gap) · Offshore/SPK 2013 · BesAR-2014 redesign · KWKG/Offshore privileged rates company-specific 2017/2019 (E2=E1, D25) · DE-AT split 10/2018 · EEG→0 07/2022, budget 2023 · ÜNB harmonisation 2023 · €6.5bn subsidy 2026 (incidence iii). CN: renormalised basket, coverage row shown (D23) · 2021-10 catalogue end (2021 = Jan–Sep basis) · 代理购电 12/2021 · 526号 06/2023 · 容量电价 2024 · 136号文 06/2025 · 1077号 08/2026 (month-weighted, D13-R). CN E1=E2 (no formal exemption regime — functional equivalents owned in text).",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ctry,Series / component,Case,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Method / source note
"UK — LARGE archetype (500 GWh, 8,000h, transmission-connected, Humber zone 5). Nominal £/MWh.",,,,,,,,,,,,,,,,,,,,
UK,"Wholesale (rolling year-ahead; day-ahead PROXY ≤2021, D22)",E1+E2,44.96,48.2,45.21,50.8,42.43,40.75,42.63,46.31,58.23,43.74,36.94,127.47,89.49,273.71,127.45,79.7,81.21,stage4_uk. estimated=Y (annualised); 2010 DA Jun–Dec; 2026 partial obs-yr.
UK,TNUoS (triad-era £/kW × 1000/h; TCR residual T-Demand4 ×365/MWh from 2023),per arch.,2.208643,2.447871875,2.8975305,3.185629375,3.781076125,4.53596125,5.311728375,5.620888375,5.509151375,6.00491475,5.979335,6.08702475,6.47992875,8.55735139921,8.72942809859,9.34160221207,15.20534277786,Flat-baseload: triad demand = avg demand (est=Y). Zone-5 locational zero-floored throughout.
UK,"BSUoS (outturn unweighted avg 2010–22, own comp. from NESO HH RF; FT primary-verified 2023+)",E1+E2,1.1005,1.5049,1.5095,1.8574,2.0209,2.1759,2.5868,2.529,3.095,3.6718,4.9484,6.914,9.3112,13.72,9.9,13.215,13.115,Demand-only from 04/2023 (CMP308/361).
UK,AAHEDC (2010/11–2020/21 from NG final tariff letters; Shetland step 2021/22 flagged),E1+E2,0.16091,0.16297,0.17886,0.18972,0.21361,0.21649,0.23129,0.23116,0.24527,0.2627,0.30446,0.40427,0.4067,0.42038,0.42145,0.40984,0.44269,p/kWh × 10. Excluded from NCC base (unverified — conservative).
UK,RO (buy-out × obligation),E1,4.10589,4.79756,6.43218,8.65612,10.5652,12.8557,15.57996,18.64222,22.09896,23.60952,23.57355,24.9936,25.96408,27.67569,31.78243,33.06058,32.72848,estimated=Y (ignores recycle value).
UK,CfD ILR annual avg (scheme from 2016; 2015/16 GAP),E1,,,,,,,0.27,1.63475,3.561,5.02325,7.8955,6.1525,0,3.286375,9.157,8.99375,10.465,
UK,FiT levelisation (2010–14 D27 est.; SY16/2025 unpublished — blank),E1,0.0463,0.4998,1.6761,2.3011,3.0107,4.311,4.621,4.993,5.303,6.048,6.743,5.27,6.268,7.266,7.161,,,Ofgem levelisation notices located.
UK,"Capacity Market (derived per-MWh, D30; 2023 pre-final; scheme from 2016/17)",E1,,,,,,,,0.039,0.8942,2.3374,2.1396,2.9759,1.4474,2.0275,3.1982,3.2975,4.9812,EMRS Key Payment Figures located. Suspension 11/2018–10/2019.
UK,CCL (main rate; CCA discount NOT modelled),E1+E2,4.7,4.85,5.09,5.24,5.41,5.54,5.59,5.68,5.83,8.47,8.11,7.75,7.75,7.75,7.75,7.75,8.01,
UK,"E1 TOTAL (statutory, excl supply margin; incl ESL 2025+ via stage4_uk r53; completeness row below)",E1,57.650727,62.860741075,63.3679265,72.651228575,67.787093325,70.72845845,77.184672775,86.084120375,105.292822975,99.60576435,97.049233,189.16539395,147.91929755,346.75524739921,206.74714969859,157.52572221207,168.07318237786,MODELLED.
UK,E1/E2 completeness (missing retrieved components),note,complete (FiT D27 est.; DUoS recon. D28 [medium]; CM n/a),complete (FiT D27 est.; DUoS recon.; CM n/a),complete (FiT D27 est.; DUoS retrieved; CM n/a),complete (FiT D27 est.; DUoS recon.; CM n/a),complete (FiT D27 est.; DUoS recon.; CM n/a),complete (CM n/a),complete (CM n/a),complete (CM TA est.),complete,complete,complete,complete,complete,complete (CM pre-final total — final unpublished),complete,excl FiT 2025/26 (unpublished ~7 £/MWh); ESL est.,excl FiT; CM in-year; ESL est.; wholesale part-yr,Understates totals where components missing — gate provisional pre-2024.
